Type,From,To,Quantity,App,Date,Transaction Hash,Memo
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","4.47345","FALTA ESSE","Jul-18-2024 02:00:47 AM UTC","0x52b7f1ba8d7a0309b4d6e8b6447f3139dd09edd176739691db2358cfc084e5f6","SWAPX:25.00|0.81|5.4075|pxusdt|e9040088820240718020024585741730"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","2.41333","FALTA ESSE","Jul-18-2024 01:59:35 AM UTC","0x24b82fcdb95260488e7f9e12021f6278cd4f1b8e04355801a13510d2f058de37","SWAPX:13.49|0.44|5.4075|pxusdt|e18236120202407180159s1594c35f72"
"FALTA ESSE","0x958972306C0DB6823FEE650e5618EAc31FA36B9D","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","2.41333","FALTA ESSE","Jul-18-2024 01:51:03 AM UTC","0x5b24e210115a300358f9a2275067f3a0a78196d5004b83ef086bcbb08bd778a4","SWAPX:13.49|0.44|5.4075|pxusdt|e02015588202407180150l4ifrefrwlw"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 01:51:01 AM UTC","0x8a29fba81d70dd2d8016f6f570777b12fc2140acca4772fa6086d3fe0d5fe83f","SWAPX:18.51|0.60|5.4075|pxusdt|e00416968202407180150djbsy5xpobx"
"FALTA ESSE","0xd75469E3A9f9F2CED454ac06F1880153C2158a60","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 01:49:53 AM UTC","0x92463f0264b8a6dcbeea858f545bf1360fddf6ed37bdc8fdc914000dd8bbb758","SWAPX:18.51|0.60|5.4075|pxusdt|e60701190202407180149dy5tdwjiiv3"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 01:49:15 AM UTC","0x4ee8ae0ec6654274cde96d51ee4639c17ca89658fcb4f79dfc5967cd23f54302","SWAPX:18.51|0.60|5.4075|pxusdt|e18236120202407180148s16532f3d1e"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 01:47:51 AM UTC","0x4aa1503cd9323cc8c44968e30bba9da226aba2c6396cd1e2c8f34db4737405b0","SWAPX:18.51|0.60|5.4075|pxusdt|e18236120202407180147s0975b4d7b3"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.32598","FALTA ESSE","Jul-18-2024 01:44:17 AM UTC","0x1cfbf697521e76beff5ff863becb166c782dc20ac47bbeb1aad7c354aa08e6fb","SWAPX:29.76|0.96|5.4075|pxusdt|e18236120202407180143s04b9c21a38"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","4.47345","FALTA ESSE","Jul-18-2024 01:41:57 AM UTC","0x6e89c81815a243e0d026bf33cbc7509d0f961330f5e41a685db4055ce3130c95","SWAPX:25.00|0.81|5.4075|pxusdt|e0955448020240718014108692123589"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","23.30487","FALTA ESSE","Jul-18-2024 01:41:37 AM UTC","0x3e142e9c4f083c1c0bc5754dbcdf0c4ea2fa2ffb0cfecdcf8f770af667e9ed73","SWAPX:130.20|4.18|5.4075|pxusdt|e9040088820240718014124585398598"
"FALTA ESSE","0xd75469E3A9f9F2CED454ac06F1880153C2158a60","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.97784","FALTA ESSE","Jul-18-2024 01:40:41 AM UTC","0xa79330e547f4a5e4b4cb0068d809dcf2667078bb67a1978634f652e84667f73b","SWAPX:22.23|0.72|5.4075|pxusdt|e18236120202407180140s01b6892271"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","24.13706","FALTA ESSE","Jul-18-2024 01:35:09 AM UTC","0x0dec4e4f6414aaaf74ee8adc6732f7095157d154172c949fc18b858c74628814","SWAPX:134.85|4.33|5.4075|pxusdt|e18236120202407180134s136e197459"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","17.47958","FALTA ESSE","Jul-18-2024 01:27:39 AM UTC","0xdb304a3cf331532e4a6c33a2fe51ec27c057052cbed1f1d8c2e428ddadc06a91","SWAPX:97.65|3.13|5.4075|pxusdt|e60746948202407180127a1227n8l5nc"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","2.41333","FALTA ESSE","Jul-18-2024 01:26:03 AM UTC","0xf43c285676b9feb3367af8c74a861d3237a79fe57db10cca674fce9e93fceecb","SWAPX:13.49|0.44|5.4075|pxusdt|e00360305202407180125a54252ae433"
"FALTA ESSE","0x958972306C0DB6823FEE650e5618EAc31FA36B9D","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","2.41333","FALTA ESSE","Jul-18-2024 01:26:01 AM UTC","0x2f860b95d9e5b4e3c3f2d8149305ba044b2118e0d51a6dd0a4e2505aa02705a6","SWAPX:13.49|0.44|5.4075|pxusdt|e18236120202407180125s141684c756"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.26125","FALTA ESSE","Jul-18-2024 01:25:53 AM UTC","0x0b2d20b82695be6c93e8c3967e4f8caaaae20d74a06fff00a6d76e61be48cd32","SWAPX:29.40|0.95|5.4075|pxusdt|e60701190202407180125dy54ybliipu"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.75777","FALTA ESSE","Jul-18-2024 01:24:55 AM UTC","0x49dbb785ee0455d688bcaf6fa26d947d1df6beef84b3de84b5afebf05f06c17c","SWAPX:21.00|0.68|5.4075|pxusdt|e0000000020240718012432721996263"
"FALTA ESSE","0x958972306C0DB6823FEE650e5618EAc31FA36B9D","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 01:24:25 AM UTC","0x0fa645a34725c79b7fb3ef0489d7f10e0561aa31ae049c3fe2bc35961e221a5c","SWAPX:18.51|0.60|5.4075|pxusdt|e00416968202407180124hc9ls0gg6uz"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","1.99539","FALTA ESSE","Jul-18-2024 01:24:03 AM UTC","0xe3815f5a2a6d12848446772ac975fe48febb9710e546b44fd9ff0a398f226d2d","SWAPX:11.16|0.37|5.4075|pxusdt|e18236120202407180123s021c76ca18"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 01:22:03 AM UTC","0x207fce4910fb84afa074df363ffa508110b62498aef130400879a45347296623","SWAPX:18.51|0.60|5.4075|pxusdt|e22896431202407180121r20odvscwcg"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.32598","FALTA ESSE","Jul-18-2024 01:20:19 AM UTC","0x349b13835d0e92f2e995de541a2100ccc678dd08c8f52aa4dbf518fc19b3a004","SWAPX:29.76|0.96|5.4075|pxusdt|e18236120202407180119s169944c9ca"
"FALTA ESSE","0x958972306C0DB6823FEE650e5618EAc31FA36B9D","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.32598","FALTA ESSE","Jul-18-2024 01:20:11 AM UTC","0x49bd0e918559122fe1c900c1510e9ecbd421595f8bcecfd196867feb5dca850c","SWAPX:29.76|0.96|5.4075|pxusdt|e60746948202407180119m3929io5hbo"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.32598","FALTA ESSE","Jul-18-2024 01:20:07 AM UTC","0x935efc768aa9756908ee144532b7988ead54660996769c75603e5903934b5cc8","SWAPX:29.76|0.96|5.4075|pxusdt|e00416968202407180119fmtyzorxwp7"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.26125","FALTA ESSE","Jul-18-2024 01:19:41 AM UTC","0xb383e8fd02048d3b0a789c8fa28d61146c82a1064ecd502b97c6fb0a4d621df4","SWAPX:29.40|0.95|5.4075|pxusdt|e00416968202407180119ilivuft30ea"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","2.41333","FALTA ESSE","Jul-18-2024 01:18:29 AM UTC","0xe6ce6eb917ee8a1c4434942126e34242404c3077200d36681ec67f83543774a4","SWAPX:13.49|0.44|5.4075|pxusdt|e9040088820240718011824584916237"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 01:16:59 AM UTC","0xf3b989b4fcb4c8f6ec513ccf0955439227699da972d6b2c364fe517c51a136d2","SWAPX:18.51|0.60|5.4075|pxusdt|e0000000020240718011636271624791"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 01:10:41 AM UTC","0xa0608b4ba90320efb6eb7e1f6a38698db9d584fa7b90306840b4e3b19f9430c7","SWAPX:18.51|0.60|5.4075|pxusdt|e60701190202407180110dy5lsreb9o3"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","10.15265","FALTA ESSE","Jul-18-2024 01:10:33 AM UTC","0x55c059e7fafd53e4dd91dc842002bb5e32ce8e7b8be3b4fc2ee44d726510ab2a","SWAPX:56.73|1.83|5.4075|pxusdt|e0398537520240718011011467364662"
"FALTA ESSE","0x958972306C0DB6823FEE650e5618EAc31FA36B9D","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","4.48071","FALTA ESSE","Jul-18-2024 01:08:09 AM UTC","0xf48416ef726531b391079a6032b004b7399babdb99d0ce823f063e3cebaaa77d","SWAPX:25.00|0.81|5.3987|pxusdt|e9040088820240718010724584683645"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 01:08:03 AM UTC","0xd27a6b5bf22647ee34d3e0d24d63618df92a724e0cbc5f216908358ba8f1d084","SWAPX:18.51|0.60|5.4075|pxusdt|e0856170120240718010746935891952"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.32598","FALTA ESSE","Jul-18-2024 01:07:25 AM UTC","0xd397671c5908af8c26dd3d117537c871ead658b826f8616e3a1a1622670f8672","SWAPX:29.76|0.96|5.4075|pxusdt|e10573521202407180107igbqyzu7frd"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 01:06:35 AM UTC","0x146dcd84f659d0fcc306d3872d3d4bcdf0679459d9c0af7e931a37c84780d531","SWAPX:18.51|0.60|5.4075|pxusdt|e00416968202407180106ohm02ili2no"
"FALTA ESSE","0x958972306C0DB6823FEE650e5618EAc31FA36B9D","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.51237","FALTA ESSE","Jul-18-2024 01:03:47 AM UTC","0xb9531b7a6eee5240739e2580af38327c6fb5b3245c117239b53b41b0001ce3ac","SWAPX:19.53|0.63|5.381|pxusdt|e0000000020240718010319624549528"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 01:02:25 AM UTC","0xfe061a7e4df8379779f3de26c085bcfd6e623f0530bd5f72179b22c94c526dec","SWAPX:18.51|0.60|5.4075|pxusdt|e60701190202407180101dy5sgx82jjh"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","6.49104","FALTA ESSE","Jul-18-2024 01:01:15 AM UTC","0x35737d03df22d980381648ef8177c783a0bbc7f907ef604520ba99cad7ef57ec","SWAPX:36.27|1.17|5.4075|pxusdt|e003603052024071801009790f515b21"
"FALTA ESSE","0xd75469E3A9f9F2CED454ac06F1880153C2158a60","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 12:59:53 AM UTC","0x5f8f94070daf3c36844e857a8f49b2d99025e518dce69b52263ba0a2f67b0b42","SWAPX:18.51|0.60|5.4075|pxusdt|e00360305202407180059968e7e5be2d"
"FALTA ESSE","0x958972306C0DB6823FEE650e5618EAc31FA36B9D","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.32598","FALTA ESSE","Jul-18-2024 12:59:51 AM UTC","0x2459140f08c69669c7cb01318588fc7139d940e767f610f6780457bc169352cd","SWAPX:29.76|0.96|5.4075|pxusdt|e0856170120240718005934363592774"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 12:59:47 AM UTC","0xf476a45af0c38f8ca4e6eb1c7f34153451de8752a37b2134af648e35c361d6d8","SWAPX:18.51|0.60|5.4075|pxusdt|e18236120202407180059s0555921a3e"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","2.41333","FALTA ESSE","Jul-18-2024 12:59:15 AM UTC","0x3400574fc82b8a213d3aef4be0eb301d2b51f85a6fe6261046839d7e1586b52f","SWAPX:13.49|0.44|5.4075|pxusdt|e00360305202407180058b7aed2137e2"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","17.47958","FALTA ESSE","Jul-18-2024 12:58:29 AM UTC","0xbe45399a44d5a5c7deb1c072651e67ee52138c402d90af4b5d485e0c1f5c7e89","SWAPX:97.65|3.13|5.4075|pxusdt|e18236120202407180057s0446a6c8f8"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.60613","FALTA ESSE","Jul-18-2024 12:57:49 AM UTC","0x41d953ee2ac2b65ca7b7ec95f3cdaa4b33aae15ba299835ec0397386c5830b5d","SWAPX:20.15|0.65|5.4075|pxusdt|e0000000020240718005726171368240"
"FALTA ESSE","0x958972306C0DB6823FEE650e5618EAc31FA36B9D","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 12:57:07 AM UTC","0x76badabbc86240a8e0a21ddc4ab17916ab32c0ae030431a5a73a233d0283ac55","SWAPX:18.51|0.60|5.4075|pxusdt|e0000000020240718005637458892219"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.32598","FALTA ESSE","Jul-18-2024 12:56:23 AM UTC","0xe26b06f50747cc0b2e6f6ec8106537d2ccf838c8ec3ed0e94662af39c77a8fa1","SWAPX:29.76|0.96|5.4075|pxusdt|e18236120202407180055s12e542dee1"
"FALTA ESSE","0x958972306C0DB6823FEE650e5618EAc31FA36B9D","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.29454","FALTA ESSE","Jul-18-2024 12:55:25 AM UTC","0x170da7a1c1c67c78f8f870e1c47f8310de2b7bc7e81f53618abf7ba9c2cc385c","SWAPX:29.59|0.96|5.4075|pxusdt|e08044854202407180054up93pg5oapu"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","2.41333","FALTA ESSE","Jul-18-2024 12:54:45 AM UTC","0x8847f350941bc98720e94986ee25cec337e29cfe2634d6fb8f56b67f4955c397","SWAPX:13.49|0.44|5.4075|pxusdt|e9040088820240718005424584371686"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.75777","FALTA ESSE","Jul-18-2024 12:54:27 AM UTC","0x52b04e4ecc5a12fe471f6dfebb4a0d8fc6154c36f4f6427f067ee40d59a0bffd","SWAPX:21.00|0.68|5.4075|pxusdt|e9279656420240718005402occotv16o"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 12:54:05 AM UTC","0xd4f63b8855a0b427e8e07c6e8123d733342803187dcdd2ea7cff5172d4206b81","SWAPX:18.51|0.60|5.4075|pxusdt|e18236120202407180053s10d8c9be96"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.32413","FALTA ESSE","Jul-18-2024 12:50:57 AM UTC","0x503cb44406af9184e4c386333ad304b1d932ec3bf261b99431d0635846ab2c4d","SWAPX:29.75|0.96|5.4075|pxusdt|e18236120202407180050s1302547acb"
"FALTA ESSE","0x958972306C0DB6823FEE650e5618EAc31FA36B9D","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 12:48:29 AM UTC","0xf27481e49a0cc50fbba19a0f5daa84b5aec435b34ba1400213b78151306d83aa","SWAPX:18.51|0.60|5.4075|pxusdt|e9040088820240718004724584203467"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.75777","FALTA ESSE","Jul-18-2024 12:47:09 AM UTC","0x411e093d61715efd3af877fd659fec5979a30d625307cd1cf022e32c42011f06","SWAPX:21.00|0.68|5.4075|pxusdt|e92796564202407180046483w1pri7bl"
